fid,id,left,top,right,bottom,row_index,col_index,CNN_30m_0mean
42149,42149,338473.875535156,6533245.8492533,338503.875535156,6533215.8492533,288,130,4.47018445776281
42150,42150,338473.875535156,6533215.8492533,338503.875535156,6533185.8492533,289,130,4.75037623297784
42151,42151,338473.875535156,6533185.8492533,338503.875535156,6533155.8492533,290,130,3.72675364630563
42152,42152,338473.875535156,6533155.8492533,338503.875535156,6533125.8492533,291,130,4.14819557117763
42153,42153,338473.875535156,6533125.8492533,338503.875535156,6533095.8492533,292,130,2.4613801240921
42154,42154,338473.875535156,6533095.8492533,338503.875535156,6533065.8492533,293,130,3.67254900090493
42155,42155,338473.875535156,6533065.8492533,338503.875535156,6533035.8492533,294,130,4.05851423808175
42156,42156,338473.875535156,6533035.8492533,338503.875535156,6533005.8492533,295,130,4.94276980838052
42157,42157,338473.875535156,6533005.8492533,338503.875535156,6532975.8492533,296,130,2.54898557762385
42158,42158,338473.875535156,6532975.8492533,338503.875535156,6532945.8492533,297,130,0.84440244797284
42159,42159,338473.875535156,6532945.8492533,338503.875535156,6532915.8492533,298,130,2.17945052054408
42160,42160,338473.875535156,6532915.8492533,338503.875535156,6532885.8492533,299,130,4.00791164572252
42161,42161,338473.875535156,6532885.8492533,338503.875535156,6532855.8492533,300,130,3.31615080213986
42162,42162,338473.875535156,6532855.8492533,338503.875535156,6532825.8492533,301,130,1.25278006616704
42163,42163,338473.875535156,6532825.8492533,338503.875535156,6532795.8492533,302,130,1.49922881552773
42164,42164,338473.875535156,6532795.8492533,338503.875535156,6532765.8492533,303,130,2.5833587819932
42165,42165,338473.875535156,6532765.8492533,338503.875535156,6532735.8492533,304,130,3.66510056606737
42166,42166,338473.875535156,6532735.8492533,338503.875535156,6532705.8492533,305,130,1.95487743461287
42167,42167,338473.875535156,6532705.8492533,338503.875535156,6532675.8492533,306,130,3.98950138317074
42168,42168,338473.875535156,6532675.8492533,338503.875535156,6532645.8492533,307,130,4.90146472856844
42169,42169,338473.875535156,6532645.8492533,338503.875535156,6532615.8492533,308,130,4.49654862782568
42170,42170,338473.875535156,6532615.8492533,338503.875535156,6532585.8492533,309,130,4.00693525965866
42171,42171,338473.875535156,6532585.8492533,338503.875535156,6532555.8492533,310,130,4.44542703555002
42172,42172,338473.875535156,6532555.8492533,338503.875535156,6532525.8492533,311,130,2.28786520972752
42173,42173,338473.875535156,6532525.8492533,338503.875535156,6532495.8492533,312,130,4.74298554162184
42174,42174,338473.875535156,6532495.8492533,338503.875535156,6532465.8492533,313,130,4.26416826984148
42175,42175,338473.875535156,6532465.8492533,338503.875535156,6532435.8492533,314,130,3.50934672201211
42176,42176,338473.875535156,6532435.8492533,338503.875535156,6532405.8492533,315,130,2.0332028642953
42177,42177,338473.875535156,6532405.8492533,338503.875535156,6532375.8492533,316,130,0.654792119088389
42178,42178,338473.875535156,6532375.8492533,338503.875535156,6532345.8492533,317,130,1.15408534164971
