id,left,top,right,bottom,CNN_20m_0mean
"122268",16174924.9785,-3675404.1298,16174944.9785,-3675424.1298,2.58582138687372
"122269",16174924.9785,-3675424.1298,16174944.9785,-3675444.1298,4.61262940049171
"122270",16174924.9785,-3675444.1298,16174944.9785,-3675464.1298,4.48987204432487
"122271",16174924.9785,-3675464.1298,16174944.9785,-3675484.1298,4.04514310836792
"122272",16174924.9785,-3675484.1298,16174944.9785,-3675504.1298,3.47522636473179
"122273",16174924.9785,-3675504.1298,16174944.9785,-3675524.1298,3.61497194826603
"122274",16174924.9785,-3675524.1298,16174944.9785,-3675544.1298,3.82403070688248
"122275",16174924.9785,-3675544.1298,16174944.9785,-3675564.1298,3.97415263414383
"122276",16174924.9785,-3675564.1298,16174944.9785,-3675584.1298,2.83176395177841
"122277",16174924.9785,-3675584.1298,16174944.9785,-3675604.1298,3.27215575933456
"122278",16174924.9785,-3675604.1298,16174944.9785,-3675624.1298,3.31413620889187
"122279",16174924.9785,-3675624.1298,16174944.9785,-3675644.1298,2.71264297738671
"122280",16174924.9785,-3675644.1298,16174944.9785,-3675664.1298,1.78525919795036
"122281",16174924.9785,-3675664.1298,16174944.9785,-3675684.1298,0.845013593157677
"122282",16174924.9785,-3675684.1298,16174944.9785,-3675704.1298,1.15252771844035
"122283",16174924.9785,-3675704.1298,16174944.9785,-3675724.1298,1.67840938739355
"122284",16174924.9785,-3675724.1298,16174944.9785,-3675744.1298,1.40167533770204
"122285",16174924.9785,-3675744.1298,16174944.9785,-3675764.1298,0.85300734564662
