fid,id,left,top,right,bottom,row_index,col_index,ALS_30m_51mean
"69825","69825",341053.875535156,6533725.8492533,341083.875535156,6533695.8492533,"272","216",0.639556427117851
"69826","69826",341053.875535156,6533695.8492533,341083.875535156,6533665.8492533,"273","216",1.13727320573396
"69827","69827",341053.875535156,6533665.8492533,341083.875535156,6533635.8492533,"274","216",1.13411510636409
"69828","69828",341053.875535156,6533635.8492533,341083.875535156,6533605.8492533,"275","216",0.941554705931081
"69829","69829",341053.875535156,6533605.8492533,341083.875535156,6533575.8492533,"276","216",1.0279367605514
"69830","69830",341053.875535156,6533575.8492533,341083.875535156,6533545.8492533,"277","216",3.18167940787143
"69831","69831",341053.875535156,6533545.8492533,341083.875535156,6533515.8492533,"278","216",1.11083110276196
"69832","69832",341053.875535156,6533515.8492533,341083.875535156,6533485.8492533,"279","216",2.38340452263753
"69833","69833",341053.875535156,6533485.8492533,341083.875535156,6533455.8492533,"280","216",1.45203149855137
"69834","69834",341053.875535156,6533455.8492533,341083.875535156,6533425.8492533,"281","216",1.37084349267185
"69835","69835",341053.875535156,6533425.8492533,341083.875535156,6533395.8492533,"282","216",0.581890745982528
"69836","69836",341053.875535156,6533395.8492533,341083.875535156,6533365.8492533,"283","216",1.60578007458813
"69837","69837",341053.875535156,6533365.8492533,341083.875535156,6533335.8492533,"284","216",2.33916450305118
"69838","69838",341053.875535156,6533335.8492533,341083.875535156,6533305.8492533,"285","216",1.95086962079836
"69839","69839",341053.875535156,6533305.8492533,341083.875535156,6533275.8492533,"286","216",0.620604753030671
"69840","69840",341053.875535156,6533275.8492533,341083.875535156,6533245.8492533,"287","216",1.57906554068956
"69841","69841",341053.875535156,6533245.8492533,341083.875535156,6533215.8492533,"288","216",0.930011350264152
"69842","69842",341053.875535156,6533215.8492533,341083.875535156,6533185.8492533,"289","216",0.51152300939067
"69843","69843",341053.875535156,6533185.8492533,341083.875535156,6533155.8492533,"290","216",0.765636581949323
"70138","70138",341083.875535156,6533995.8492533,341113.875535156,6533965.8492533,"263","217",3.62203410842962
"70139","70139",341083.875535156,6533965.8492533,341113.875535156,6533935.8492533,"264","217",1.42753066824542
"70140","70140",341083.875535156,6533935.8492533,341113.875535156,6533905.8492533,"265","217",1.54630467101932
"70141","70141",341083.875535156,6533905.8492533,341113.875535156,6533875.8492533,"266","217",0.582569337627954
"70142","70142",341083.875535156,6533875.8492533,341113.875535156,6533845.8492533,"267","217",0.718543426518639
"70143","70143",341083.875535156,6533845.8492533,341113.875535156,6533815.8492533,"268","217",0.853173854500055
"70144","70144",341083.875535156,6533815.8492533,341113.875535156,6533785.8492533,"269","217",1.56784139134818
"70145","70145",341083.875535156,6533785.8492533,341113.875535156,6533755.8492533,"270","217",1.6799447102348
"70146","70146",341083.875535156,6533755.8492533,341113.875535156,6533725.8492533,"271","217",0.796379116177559
"70147","70147",341083.875535156,6533725.8492533,341113.875535156,6533695.8492533,"272","217",0.60554707866576
"70148","70148",341083.875535156,6533695.8492533,341113.875535156,6533665.8492533,"273","217",1.07631599030561
"70149","70149",341083.875535156,6533665.8492533,341113.875535156,6533635.8492533,"274","217",1.06544616439276
"70150","70150",341083.875535156,6533635.8492533,341113.875535156,6533605.8492533,"275","217",1.51820336447822
"70151","70151",341083.875535156,6533605.8492533,341113.875535156,6533575.8492533,"276","217",3.94931737224261
"70152","70152",341083.875535156,6533575.8492533,341113.875535156,6533545.8492533,"277","217",3.51204149080647
"70153","70153",341083.875535156,6533545.8492533,341113.875535156,6533515.8492533,"278","217",1.92301615342498
"70154","70154",341083.875535156,6533515.8492533,341113.875535156,6533485.8492533,"279","217",1.3593711826702
"70155","70155",341083.875535156,6533485.8492533,341113.875535156,6533455.8492533,"280","217",1.12442869900829
"70156","70156",341083.875535156,6533455.8492533,341113.875535156,6533425.8492533,"281","217",1.88984708438317
"70157","70157",341083.875535156,6533425.8492533,341113.875535156,6533395.8492533,"282","217",1.76873742707902
"70158","70158",341083.875535156,6533395.8492533,341113.875535156,6533365.8492533,"283","217",2.01494142565462
"70159","70159",341083.875535156,6533365.8492533,341113.875535156,6533335.8492533,"284","217",2.04415741056204
"70160","70160",341083.875535156,6533335.8492533,341113.875535156,6533305.8492533,"285","217",1.65142069050835
"70161","70161",341083.875535156,6533305.8492533,341113.875535156,6533275.8492533,"286","217",0.60468022260401
"70162","70162",341083.875535156,6533275.8492533,341113.875535156,6533245.8492533,"287","217",0.664341681065659
"70163","70163",341083.875535156,6533245.8492533,341113.875535156,6533215.8492533,"288","217",0.702529699140125
"70164","70164",341083.875535156,6533215.8492533,341113.875535156,6533185.8492533,"289","217",0.534384737875726
"70165","70165",341083.875535156,6533185.8492533,341113.875535156,6533155.8492533,"290","217",1.39852121472359
"70460","70460",341113.875535156,6533995.8492533,341143.875535156,6533965.8492533,"263","218",1.36295440793037
"70461","70461",341113.875535156,6533965.8492533,341143.875535156,6533935.8492533,"264","218",0.830952944862052
"70462","70462",341113.875535156,6533935.8492533,341143.875535156,6533905.8492533,"265","218",1.15607035731322
"70463","70463",341113.875535156,6533905.8492533,341143.875535156,6533875.8492533,"266","218",0.469185697519117
"70464","70464",341113.875535156,6533875.8492533,341143.875535156,6533845.8492533,"267","218",0.492370038015975
"70465","70465",341113.875535156,6533845.8492533,341143.875535156,6533815.8492533,"268","218",0.579378346693185
"70466","70466",341113.875535156,6533815.8492533,341143.875535156,6533785.8492533,"269","218",1.33951314186056
"70467","70467",341113.875535156,6533785.8492533,341143.875535156,6533755.8492533,"270","218",1.2609520145754
"70468","70468",341113.875535156,6533755.8492533,341143.875535156,6533725.8492533,"271","218",0.996510204474131
"70469","70469",341113.875535156,6533725.8492533,341143.875535156,6533695.8492533,"272","218",0.619744636333651
"70470","70470",341113.875535156,6533695.8492533,341143.875535156,6533665.8492533,"273","218",0.805169257389175
"70471","70471",341113.875535156,6533665.8492533,341143.875535156,6533635.8492533,"274","218",1.00065425104565
"70472","70472",341113.875535156,6533635.8492533,341143.875535156,6533605.8492533,"275","218",2.683333885173
"70473","70473",341113.875535156,6533605.8492533,341143.875535156,6533575.8492533,"276","218",2.63828453832202
"70474","70474",341113.875535156,6533575.8492533,341143.875535156,6533545.8492533,"277","218",1.55648406902949
"70475","70475",341113.875535156,6533545.8492533,341143.875535156,6533515.8492533,"278","218",1.16016347900033
"70476","70476",341113.875535156,6533515.8492533,341143.875535156,6533485.8492533,"279","218",0.848672535667817
"70477","70477",341113.875535156,6533485.8492533,341143.875535156,6533455.8492533,"280","218",0.777129367358155
"70478","70478",341113.875535156,6533455.8492533,341143.875535156,6533425.8492533,"281","218",1.57337906939288
"70479","70479",341113.875535156,6533425.8492533,341143.875535156,6533395.8492533,"282","218",1.77298767332402
"70480","70480",341113.875535156,6533395.8492533,341143.875535156,6533365.8492533,"283","218",2.10734058901668
"70481","70481",341113.875535156,6533365.8492533,341143.875535156,6533335.8492533,"284","218",2.58514889402522
"70482","70482",341113.875535156,6533335.8492533,341143.875535156,6533305.8492533,"285","218",2.04660290234619
"70483","70483",341113.875535156,6533305.8492533,341143.875535156,6533275.8492533,"286","218",1.013902795232
"70484","70484",341113.875535156,6533275.8492533,341143.875535156,6533245.8492533,"287","218",2.82616973413361
"70485","70485",341113.875535156,6533245.8492533,341143.875535156,6533215.8492533,"288","218",2.69097623737322
"70486","70486",341113.875535156,6533215.8492533,341143.875535156,6533185.8492533,"289","218",0.949496469216214
"70487","70487",341113.875535156,6533185.8492533,341143.875535156,6533155.8492533,"290","218",0.902987738226085
