id,left,top,right,bottom,row_index,col_index,CNN_30m_1mean
40797,338353.875535156,6535165.8492533,338383.875535156,6535135.8492533,224,126,0.781402187870473
40798,338353.875535156,6535135.8492533,338383.875535156,6535105.8492533,225,126,1.16768536461543
40799,338353.875535156,6535105.8492533,338383.875535156,6535075.8492533,226,126,1.88222688782321
40800,338353.875535156,6535075.8492533,338383.875535156,6535045.8492533,227,126,1.41928703998846
40801,338353.875535156,6535045.8492533,338383.875535156,6535015.8492533,228,126,3.18602726274607
40802,338353.875535156,6535015.8492533,338383.875535156,6534985.8492533,229,126,2.72582943151074
40803,338353.875535156,6534985.8492533,338383.875535156,6534955.8492533,230,126,3.91254684007494
40804,338353.875535156,6534955.8492533,338383.875535156,6534925.8492533,231,126,2.82947606363058
40805,338353.875535156,6534925.8492533,338383.875535156,6534895.8492533,232,126,2.43866135334482
40806,338353.875535156,6534895.8492533,338383.875535156,6534865.8492533,233,126,3.45872377591049
40807,338353.875535156,6534865.8492533,338383.875535156,6534835.8492533,234,126,4.02875356651233
40808,338353.875535156,6534835.8492533,338383.875535156,6534805.8492533,235,126,3.12852859786882
40809,338353.875535156,6534805.8492533,338383.875535156,6534775.8492533,236,126,2.76023985215319
40810,338353.875535156,6534775.8492533,338383.875535156,6534745.8492533,237,126,3.43551925554715
40811,338353.875535156,6534745.8492533,338383.875535156,6534715.8492533,238,126,3.0473330341154
40812,338353.875535156,6534715.8492533,338383.875535156,6534685.8492533,239,126,3.0509841158599
40813,338353.875535156,6534685.8492533,338383.875535156,6534655.8492533,240,126,3.36389876109231
40814,338353.875535156,6534655.8492533,338383.875535156,6534625.8492533,241,126,4.15006668117012
40815,338353.875535156,6534625.8492533,338383.875535156,6534595.8492533,242,126,3.81780328689428
40816,338353.875535156,6534595.8492533,338383.875535156,6534565.8492533,243,126,4.1097846277161
40817,338353.875535156,6534565.8492533,338383.875535156,6534535.8492533,244,126,3.50236058138329
40818,338353.875535156,6534535.8492533,338383.875535156,6534505.8492533,245,126,3.21279529643886
